Query_number,doc_number
174249,291459
174249,101728
174249,211324
174249,442231
174249,4573
174249,474720
174249,159065
174249,68693
174249,35359
174249,118961
320792,112814
320792,15589
320792,285694
320792,135718
320792,204583
320792,75217
320792,328222
320792,107440
320792,400044
320792,220553
1090270,297862
1090270,377588
1090270,163279
1090270,5204
1090270,302263
1090270,35057
1090270,377715
1090270,11168
1090270,134062
1090270,333625
1101279,111622
1101279,214113
1101279,1026
1101279,190921
1101279,415829
1101279,127393
1101279,355521
1101279,6727
1101279,427311
1101279,436231
201376,79246
201376,441670
201376,275910
201376,305285
201376,78406
201376,80955
201376,169578
201376,245955
201376,19994
201376,288073
54544,379767
54544,80295
54544,321413
54544,269034
54544,338921
54544,182230
54544,169201
54544,129739
54544,354123
54544,274954
118457,183462
118457,75271
118457,172252
118457,186197
118457,300938
118457,280114
118457,433240
118457,394074
118457,346649
118457,184012
178627,401005
178627,351088
178627,320635
178627,460172
178627,367941
178627,27520
178627,30831
178627,142421
178627,53930
178627,266221
1101278,391241
1101278,488574
1101278,435388
1101278,297031
1101278,252560
1101278,14394
1101278,499345
1101278,423517
1101278,12148
1101278,124832
68095,330086
68095,373931
68095,196667
68095,165388
68095,15825
68095,171185
68095,271719
68095,203035
68095,171264
68095,466925
87892,390283
87892,176754
87892,333213
87892,278422
87892,330086
87892,91580
87892,136221
87892,339609
87892,475911
87892,452519
257309,297077
257309,211617
257309,429647
257309,224047
257309,402548
257309,185876
257309,363193
257309,18785
257309,430709
257309,36557
1090242,143004
1090242,147652
1090242,193652
1090242,282905
1090242,340037
1090242,442102
1090242,95153
1090242,500552
1090242,177590
1090242,175278
211691,364237
211691,236631
211691,420800
211691,170448
211691,376636
211691,3589
211691,239734
211691,287591
211691,436958
211691,262591
165002,488956
165002,245256
165002,250117
165002,468505
165002,331450
165002,415837
165002,159085
165002,465996
165002,196817
165002,229989
1101276,10714
1101276,141919
1101276,490013
1101276,320644
1101276,20207
1101276,221686
1101276,169230
1101276,105731
1101276,497585
1101276,49093
264827,53035
264827,419840
264827,231158
264827,152001
264827,481349
264827,190480
264827,433503
264827,429647
264827,460918
264827,433469
342285,449983
342285,71251
342285,243641
342285,469162
342285,22274
342285,415306
342285,32501
342285,450560
342285,103809
342285,354460
372586,296506
372586,438624
372586,370899
372586,44492
372586,207635
372586,306569
372586,179957
372586,487841
372586,7677
372586,180573
89786,295900
89786,13411
89786,202048
89786,445693
89786,188146
89786,161887
89786,158595
89786,315460
89786,434915
89786,53035
118448,450116
118448,213802
118448,444707
118448,187755
118448,8051
118448,299614
118448,171345
118448,287579
118448,277598
118448,379767
92542,84322
92542,35201
92542,262591
92542,325833
92542,30981
92542,260310
92542,226358
92542,259363
92542,103777
92542,99767
206117,331556
206117,78904
206117,353341
206117,112197
206117,492627
206117,409085
206117,314669
206117,300952
206117,118325
206117,357015
141472,464688
141472,150702
141472,266847
141472,488384
141472,246628
141472,443457
141472,239890
141472,35764
141472,60673
141472,142142
196232,340244
196232,84322
196232,56358
196232,111554
196232,468375
196232,256638
196232,434915
196232,442275
196232,395227
196232,67770
352818,391031
352818,278637
352818,167389
352818,123323
352818,287591
352818,185990
352818,133109
352818,211407
352818,173978
352818,70842
208145,79640
208145,190528
208145,45583
208145,89213
208145,221603
208145,258796
208145,188146
208145,244564
208145,432399
208145,273379
79891,441339
79891,127467
79891,394547
79891,411511
79891,214001
79891,383611
79891,249218
79891,166047
79891,282426
79891,261388
208494,462095
208494,95281
208494,82491
208494,23835
208494,242426
208494,272619
208494,499751
208494,326105
208494,223889
208494,287591
319564,77011
319564,493729
319564,391031
319564,349991
319564,163553
319564,27185
319564,439383
319564,427819
319564,311860
319564,23699
155234,470028
155234,465870
155234,415640
155234,445319
155234,254685
155234,3589
155234,107887
155234,23473
155234,4573
155234,346121
14151,256598
14151,99535
14151,450207
14151,111622
14151,221998
14151,293681
14151,436231
14151,110865
14151,6727
14151,427311
67802,147691
67802,37052
67802,209711
67802,401005
67802,464330
67802,472982
67802,446429
67802,259026
67802,440447
67802,471089
1090184,53035
1090184,267846
1090184,313958
1090184,47675
1090184,330021
1090184,41853
1090184,399085
1090184,67770
1090184,268637
1090184,498251
323382,455907
323382,262591
323382,417347
323382,84322
323382,167400
323382,60214
323382,206575
323382,188480
323382,479238
323382,111785
323998,243369
323998,277045
323998,162837
323998,342522
323998,224210
323998,278637
323998,155555
323998,299213
323998,23562
323998,441226
289812,35201
289812,288332
289812,125135
289812,15128
289812,85117
289812,262591
289812,382034
289812,280973
289812,41860
289812,459077
333486,278993
333486,99535
333486,235660
333486,124795
333486,11211
333486,443859
333486,333471
333486,445481
333486,66996
333486,351680
1090171,123794
1090171,84776
1090171,233385
1090171,381090
1090171,499456
1090171,478788
1090171,81750
1090171,259363
1090171,339326
1090171,53035
73257,333213
73257,338752
73257,43882
73257,161891
73257,239159
73257,358075
73257,441226
73257,491888
73257,44545
73257,14071
1090170,130878
1090170,336782
1090170,9679
1090170,498251
1090170,254963
1090170,177661
1090170,265614
1090170,391031
1090170,372855
1090170,426595
127876,191860
127876,120478
127876,246640
127876,37020
127876,210668
127876,15625
127876,451518
127876,368827
127876,381622
127876,155260
1090165,26848
1090165,122850
1090165,53035
1090165,30981
1090165,390394
1090165,85146
1090165,92479
1090165,69387
1090165,35990
1090165,275484
259417,466352
259417,220411
259417,357279
259417,184130
259417,39941
259417,440690
259417,180655
259417,128181
259417,347056
259417,463632
1101271,482220
1101271,487841
1101271,198312
1101271,56554
1101271,363257
1101271,368720
1101271,10924
1101271,409023
1101271,396090
1101271,388227
205107,338051
205107,417371
205107,457336
205107,35351
205107,48567
205107,81842
205107,205849
205107,276870
205107,284202
205107,476979
307118,218741
307118,242552
307118,98772
307118,340100
307118,488767
307118,283923
307118,98718
307118,409615
307118,341602
307118,254930
335710,12012
335710,280258
335710,474940
335710,251609
335710,336816
335710,487841
335710,226570
335710,342402
335710,80941
335710,301502
127984,294703
127984,447564
127984,434915
127984,399065
127984,399237
127984,142879
127984,409922
127984,248685
127984,380716
127984,347865
1090151,357258
1090151,69387
1090151,153633
1090151,16860
1090151,120170
1090151,450207
1090151,169201
1090151,86243
1090151,74422
1090151,434915
1090146,333213
1090146,164067
1090146,253361
1090146,366421
1090146,245571
1090146,267783
1090146,389713
1090146,184344
1090146,190312
1090146,244682
1090132,254936
1090132,284870
1090132,245348
1090132,433546
1090132,174049
1090132,469698
1090132,286747
1090132,188284
1090132,271952
1090132,286780
1090115,69387
1090115,153633
1090115,408595
1090115,487226
1090115,329990
1090115,249457
1090115,347865
1090115,479589
1090115,197314
1090115,112722
1090110,357517
1090110,353170
1090110,11211
1090110,61654
1090110,333471
1090110,365040
1090110,172252
1090110,75271
1090110,38479
1090110,6727
1090107,11211
1090107,333471
1090107,54203
1090107,171554
1090107,76178
1090107,367796
1090107,75891
1090107,498456
1090107,295375
1090107,4573
1090086,153633
1090086,267245
1090086,69387
1090086,357258
1090086,379767
1090086,74422
1090086,434915
1090086,240050
1090086,329254
1090086,11211
1090077,234661
1090077,97015
1090077,387950
1090077,399512
1090077,386494
1090077,152862
1090077,291459
1090077,118792
1090077,148341
1090077,295691
1090072,86506
1090072,277485
1090072,245560
1090072,110863
1090072,188146
1090072,206160
1090072,173493
1090072,291459
1090072,97015
1090072,420254
1090054,82448
1090054,475848
1090054,388654
1090054,454992
1090054,486799
1090054,411161
1090054,306028
1090054,399999
1090054,412926
1090054,365398
1101259,64102
1101259,430268
1101259,132324
1101259,415751
1101259,89115
1101259,14067
1101259,151104
1101259,263507
1101259,444082
1101259,355646
1089983,245650
1089983,182584
1089983,262591
1089983,244183
1089983,313606
1089983,259363
1089983,291617
1089983,291577
1089983,476067
1089983,244564
1089966,97015
1089966,108061
1089966,252306
1089966,110865
1089966,163614
1089966,6727
1089966,436231
1089966,127393
1089966,355521
1089966,427311
1089964,438456
1089964,252051
1089964,281724
1089964,410213
1089964,76178
1089964,245376
1089964,395165
1089964,10092
1089964,379214
1089964,297940
1089940,272549
1089940,260717
1089940,4263
1089940,13629
1089940,256598
1089940,468171
1089940,126190
1089940,119652
1089940,429627
1089940,145825
1089925,65466
1089925,333471
1089925,11211
1089925,128343
1089925,98231
1089925,238409
1089925,351680
1089925,104677
1089925,487841
1089925,435832
1089896,215389
1089896,447532
1089896,355308
1089896,303559
1089896,7468
1089896,81685
1089896,267437
1089896,246058
1089896,115785
1089896,81529
1101236,462141
1101236,161999
1101236,257933
1101236,283808
1101236,320835
1101236,326925
1101236,291255
1101236,235050
1101236,330000
1101236,355031
1089868,69608
1089868,94868
1089868,251388
1089868,174519
1089868,33754
1089868,67716
1089868,493280
1089868,99283
1089868,28539
1089868,191735
1089846,245023
1089846,9324
1089846,355249
1089846,44983
1089846,201511
1089846,450313
1089846,402312
1089846,142772
1089846,55956
1089846,42711
1089832,180860
1089832,212686
1089832,439188
1089832,56677
1089832,192980
1089832,52828
1089832,246978
1089832,96331
1089832,250434
1089832,192613
1089810,85268
1089810,445693
1089810,11211
1089810,333471
1089810,449069
1089810,32489
1089810,385716
1089810,351680
1089810,166805
1089810,212231
1101228,47011
1101228,276065
1101228,379547
1101228,412438
